,월,일,시간,유동인구수,유동인구수,유동인구수,유동인구수,유동인구수,유동인구수,유동인구수,유동인구수,유동인구수,유동인구수,유동인구수,유동인구수
성별,,,,남성,남성,남성,남성,남성,남성,여성,여성,여성,여성,여성,여성
연령대(10세단위),,,,20,30,40,50,60,70,20,30,40,50,60,70
0,1,1,0,735430,817230,810510,759610,520530,356440,712750,766340,803280,789640,575040,484660
1,1,1,1,728350,810440,804040,753750,516530,353510,705240,760650,797320,785460,571250,481470
2,1,1,2,723910,805480,800040,749950,513790,351720,700900,757290,794530,782940,569700,479900
3,1,1,3,718270,801810,797290,747160,511110,349650,697880,754860,792290,780720,568160,478010
4,1,1,4,715530,799000,794470,744140,508630,348050,695560,752960,790180,778440,566570,476270
5,1,1,5,713390,796350,791790,741690,507360,347610,693810,751200,788160,775890,565280,475480
6,1,1,6,707190,792660,788450,738120,505000,347450,688270,748650,785630,773130,563930,474810
7,1,1,7,703530,789990,786500,735190,503510,347870,684820,746670,783310,770570,562940,474990
8,1,1,8,705520,790580,787570,736830,504840,350400,684520,746970,783790,770910,563710,477420
9,1,1,9,707160,792490,789650,736800,505690,352290,686140,749220,786030,771930,564890,479930
10,1,1,10,708820,793650,791000,735810,504120,353180,688580,750780,787250,771150,564110,480860
11,1,1,11,711260,794790,792320,733080,500800,352490,690890,751230,787910,767930,561140,480290
12,1,1,12,714510,795620,792500,730540,498060,351630,694730,751240,788140,764690,558140,478830
13,1,1,13,718380,796220,792100,729970,497600,351420,697950,751220,788280,763230,557040,478710
14,1,1,14,721790,797760,793090,731080,499150,352160,701430,752570,790360,764690,557880,479330
15,1,1,15,726150,800990,795270,735080,502980,353240,706970,756000,793180,769220,560840,480510
16,1,1,16,730430,805440,799450,741350,507790,354420,712120,760580,796880,775230,565220,481530
17,1,1,17,733660,809820,802650,746850,512370,355020,716790,765710,799980,781840,569480,482360
18,1,1,18,735760,813740,806120,751530,516350,356240,718590,770520,802710,787330,573590,483110
19,1,1,19,736250,816980,808540,755350,519420,356970,720550,775410,805170,792490,577070,484050
20,1,1,20,735670,818200,809640,757830,521390,356960,722020,778820,807280,796410,579360,484180
21,1,1,21,732590,818230,810630,758760,521830,356630,720430,781630,808660,797490,579720,484170
22,1,1,22,728880,816280,811480,758860,521690,356300,716420,782130,809150,797940,579740,484020
23,1,1,23,723130,814490,810950,758350,521040,355850,711070,781250,808570,797340,579310,483580
24,1,2,0,719840,812690,809980,756970,520160,355110,708990,780970,808310,797010,579140,483190
25,1,2,1,718920,812050,809160,755900,518790,353810,708580,780720,807820,796450,578610,482360
26,1,2,2,716790,810870,807820,754310,517140,352120,707970,780060,806990,795610,577830,481050
27,1,2,3,712430,809560,806640,752720,515040,349860,707470,779190,806160,794520,576410,478990
28,1,2,4,711270,808120,805260,751180,513430,348450,707050,778440,805260,793530,575820,477930
29,1,2,5,711000,808390,807410,752100,513210,349140,707340,778470,805290,793470,576540,477800
30,1,2,6,711960,814740,822850,758310,512590,350850,711360,784400,810150,795560,578060,479110
31,1,2,7,724390,849710,861340,772600,512900,353170,738980,816600,829230,803200,581810,482160
32,1,2,8,741350,880740,890360,782130,515020,357260,781120,855630,850080,815060,588420,487200
33,1,2,9,750410,892640,905170,789090,518430,361380,799280,871870,864620,824590,594000,492520
34,1,2,10,755280,896450,910730,791010,518750,364600,808990,878640,872620,828710,596950,496410
35,1,2,11,760170,898090,911750,788950,518020,365950,817340,882510,875850,829430,597790,498870
36,1,2,12,765000,900500,913070,790460,517080,366610,827260,886090,877920,830580,597820,499960
37,1,2,13,769210,901950,914550,791410,518640,367780,834220,888520,880150,831970,598550,500380
38,1,2,14,771140,901030,913560,791640,519410,367780,838020,889050,879840,832730,598610,499680
39,1,2,15,773130,901140,911780,792380,520630,367180,840940,888570,878020,832590,597910,497760
40,1,2,16,774580,901690,911300,793710,522870,365560,841380,886460,876060,830740,595500,494600
41,1,2,17,777990,901580,907480,794620,525610,363840,837970,880900,871820,828580,593240,491970
42,1,2,18,773930,891110,890870,788120,526740,362010,818830,859900,856960,823680,591150,489680
43,1,2,19,761410,865880,865160,778730,525710,360320,790460,832930,840590,816540,588390,487990
44,1,2,20,754340,852950,852050,773050,524480,358820,773800,819440,832420,811860,586410,486930
45,1,2,21,746900,841880,840540,766950,523150,357700,758590,808670,826710,808440,584690,486110
46,1,2,22,737720,830720,829300,760470,521300,356880,741330,799420,821090,804770,583250,485410
47,1,2,23,728450,821980,820940,756330,519910,356150,727820,793070,817790,802710,582360,484730
48,1,3,0,723190,816560,815740,753340,518590,355250,722400,789830,815670,801360,581750,484170
49,1,3,1,721710,813570,812400,751810,517300,354100,721120,788340,814440,800570,581160,483260
50,1,3,2,719750,811350,809510,750320,515550,352320,720220,787280,813330,799610,580290,481970
51,1,3,3,715410,809430,807320,748330,513530,350220,719630,786090,812050,798450,578920,480000
52,1,3,4,713920,807670,805400,746940,511880,348600,718900,784940,810930,797640,578250,478950
53,1,3,5,713400,807240,806400,748130,512320,349310,718660,784240,810330,797120,578770,478950
54,1,3,6,714400,812330,819090,754510,512120,350570,722080,788990,814060,798720,579780,479670
55,1,3,7,727350,846020,854760,769610,512210,353390,749290,819800,831830,806340,583530,482680
56,1,3,8,743970,876320,881050,777380,513750,356880,790840,858350,851220,818150,589660,487890
57,1,3,9,754400,887560,892780,782830,516180,360750,809780,873760,864450,827480,594930,492650
58,1,3,10,758500,891170,897520,783900,516650,363710,818400,879580,871020,831130,597420,496400
59,1,3,11,763610,892290,898090,781940,515300,365490,827220,883330,873450,832170,597740,498300
60,1,3,12,769420,894750,900070,781710,514450,366230,837160,886460,874790,832460,597430,498810
61,1,3,13,773890,896610,902750,784550,516020,367530,844220,887870,876670,833950,598800,499820
62,1,3,14,776030,898470,903050,786360,518220,368390,847830,887960,876850,834550,599460,499670
63,1,3,15,777600,899550,902820,787210,519540,367630,850290,888080,876170,833600,598100,497520
64,1,3,16,778060,900290,902020,788540,521960,365900,849010,886060,874090,831920,596060,494300
65,1,3,17,783450,903320,899950,792440,526320,364340,847420,882280,871020,830550,594120,491290
66,1,3,18,785820,897500,885340,788230,527980,362650,833130,865360,858130,825860,591150,489070
67,1,3,19,777800,874310,861360,780390,527820,360860,806650,838290,842690,817730,588360,487720
68,1,3,20,770840,860040,848800,775340,526490,359220,788130,822510,832900,811950,585430,486450
69,1,3,21,765440,851900,839860,771750,524800,358080,772840,812310,826710,807840,583100,485590
70,1,3,22,756770,842770,829430,765770,522540,356960,753770,801300,819890,803310,581120,484540
71,1,3,23,746100,833230,820710,760500,520400,356290,735780,791760,814400,799800,579840,483700
72,1,4,0,738060,825750,814010,755870,518310,355360,725880,786070,811850,798110,579110,482940
73,1,4,1,735620,821810,810020,753520,517340,354240,723400,783680,810240,797100,578480,482080
74,1,4,2,732950,818490,806960,751950,515500,352350,721820,782070,808730,796130,577620,480970
75,1,4,3,728090,816050,804280,750030,513540,349890,720690,780560,807220,794540,576000,478920
76,1,4,4,726220,813920,801940,748080,511170,348120,719650,779180,805760,793160,574790,477270
77,1,4,5,725180,812120,800090,746800,510450,348000,718870,778020,804420,792200,574440,476690
78,1,4,6,722420,809060,798010,743630,508500,348480,717650,777000,803030,790950,574120,477150
79,1,4,7,723680,808000,796000,738560,505800,349520,719810,777840,802690,788940,573660,477550
80,1,4,8,731180,812690,799470,738720,506530,352140,730650,785160,808680,792630,575660,480290
81,1,4,9,738450,818880,804780,738880,507380,354870,740240,793640,817310,797780,578170,483670
82,1,4,10,745040,825140,807840,739200,507780,357520,750670,801090,823780,801420,580580,487280
83,1,4,11,752670,831380,810540,740500,508730,360760,762600,807990,829090,804540,582620,490560
84,1,4,12,760430,835860,812070,740540,508680,362580,776300,812910,832050,805360,582890,491660
85,1,4,13,767220,839260,812200,741420,509830,364600,787290,815260,832550,804280,583010,492480
86,1,4,14,771790,841060,811950,742150,511390,365560,794420,814780,831370,803010,583340,492840
87,1,4,15,775450,841450,812090,743840,513780,365140,798130,813450,829540,801890,583420,491690
88,1,4,16,777660,842320,812260,749290,517330,363750,800380,811540,827000,801730,582720,489690
89,1,4,17,780070,843250,811930,753240,519690,361370,797910,807980,823110,799460,580240,486580
90,1,4,18,779670,842210,810560,755040,521250,359990,791190,802390,818200,797160,578260,485060
91,1,4,19,776350,839310,808980,756110,521500,358630,782070,797100,813870,795750,576740,483550
92,1,4,20,772650,836310,808010,756740,520860,357430,771890,792570,810610,794740,575760,482960
93,1,4,21,766500,833660,806890,756630,519710,356630,759100,787800,808300,792500,574570,482500
94,1,4,22,758730,828480,804270,754870,518350,355750,742230,781880,804060,790140,573620,481930
95,1,4,23,747560,821820,801680,752690,516760,355100,725280,775890,801360,788210,572900,481510
96,1,5,0,741430,817360,799370,750220,515120,354330,718680,773210,800180,787280,572380,480950
97,1,5,1,739150,815120,797640,748660,513430,353010,717020,771840,799080,786580,571900,480040
98,1,5,2,736640,812670,795620,746980,511640,351150,715980,770660,797760,785810,571130,478700
99,1,5,3,731730,810610,793590,745030,509340,348760,714800,769350,796600,784470,569740,476640
100,1,5,4,729750,808960,791720,743090,507020,346810,713800,768000,795240,783210,568130,475010
101,1,5,5,728150,806730,789520,740930,505950,346610,712690,766540,793480,781410,567180,474240
102,1,5,6,725260,804610,788000,739320,505530,347580,711070,765400,792420,780570,567430,474640
103,1,5,7,725160,802920,788020,736300,503240,348890,711120,765150,791870,778600,566940,475900
104,1,5,8,729060,805140,791820,738530,505500,352530,715270,768390,796360,780630,569520,480210
105,1,5,9,732260,809970,796020,738770,506370,356650,721670,773910,802910,784860,573130,487230
106,1,5,10,736850,815800,799880,738770,505910,359020,728870,781040,808840,786410,575370,492560
107,1,5,11,742350,820540,802590,737860,503720,358740,736100,785780,811630,786130,574390,493090
108,1,5,12,749960,825070,805320,736620,502290,358640,746940,790930,814410,785750,573300,492540
109,1,5,13,754950,828300,805080,736950,503040,358260,755670,794520,815580,785670,572890,491490
110,1,5,14,759390,830750,806020,738170,504730,358100,762830,797100,816870,787610,573900,490230
111,1,5,15,761840,832360,807960,740820,506050,357420,768260,798660,817730,789150,574790,487860
112,1,5,16,762980,833350,809900,744990,508930,357090,771430,800170,818470,791810,575920,486400
113,1,5,17,763610,834640,811840,749750,512830,356970,772890,801170,818870,794400,577510,485030
114,1,5,18,762710,834990,813530,754810,517620,357510,770690,800870,818210,797910,580290,484690
115,1,5,19,759400,833600,814650,757920,520880,357620,767760,801080,818680,800980,582220,484830
116,1,5,20,753950,831310,814630,759380,521860,357150,761530,800440,818290,803330,582930,484680
117,1,5,21,746690,826830,814800,759710,521690,356800,751840,797420,817160,803280,582710,484300
118,1,5,22,739490,823110,813890,758740,520990,356180,740730,794930,815770,802510,582340,483850
119,1,5,23,731830,820190,812980,757620,520240,355710,731870,793210,815590,801760,582090,483730
120,1,6,0,728430,818290,812310,756630,519230,354870,728690,792420,815080,801250,581660,483060
121,1,6,1,727020,817000,811540,755400,517590,353530,727980,791870,814210,800610,581240,482250
122,1,6,2,724920,815870,810100,753820,515650,351630,727680,791120,813190,799710,580370,481060
123,1,6,3,720510,814510,808560,752320,513720,349360,726980,790280,812330,798570,579110,479120
124,1,6,4,719260,813200,807390,750910,512400,348090,726330,789390,811390,797800,578680,477960
125,1,6,5,718640,813130,810150,752150,512730,348940,726480,789420,811480,797670,579520,478070
126,1,6,6,719870,820200,827220,759490,512250,350420,731100,795640,816790,800280,581030,479620
127,1,6,7,732660,853920,865420,773410,511820,353110,759950,828040,836430,808340,584970,482660
128,1,6,8,749590,885480,895490,784440,514110,357400,803730,869240,859580,821500,592300,488640
129,1,6,9,758960,898160,908980,790670,517220,361650,822130,886260,874210,831200,598540,494350
130,1,6,10,762270,902970,914980,793600,519460,365790,830540,894170,881820,837000,603210,499770
131,1,6,11,766020,904340,915960,792830,519600,367790,839320,898680,885250,838450,604810,502990
132,1,6,12,770140,905420,916850,792850,519750,369040,848050,901800,887260,839110,605250,503970
133,1,6,13,773090,905930,918770,794290,520970,370160,853510,903550,888930,840740,605910,504370
134,1,6,14,774120,906450,918170,795250,523000,369790,855320,903520,888240,841200,605880,503120
135,1,6,15,774990,906470,917750,796700,523930,368600,856030,902010,886610,840630,604150,500270
136,1,6,16,774620,906880,916650,798350,525330,366570,853870,898770,883400,838380,600740,495690
137,1,6,17,777000,906390,913890,799790,527900,364360,849650,892860,878870,835560,598020,492170
138,1,6,18,773690,896540,899520,793550,528700,362560,829440,870950,863670,829660,594940,490010
139,1,6,19,758770,867940,871200,781910,526640,360460,797740,839990,845830,820420,591260,488030
140,1,6,20,750210,852890,855410,774180,524590,358700,779580,825910,836590,815210,588760,486640
