Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,
1,Bitcoin,BTC,"$424,537,010,234","$22,855.12","18,575,137 BTC","$37,233,162,746",-0.51%,-0.09%,24.54%,
2,Ethereum,ETH,"$73,997,694,189",$649.71,"113,893,642 ETH","$14,714,259,187",-0.30%,1.13%,16.22%,
3,XRP,XRP,"$25,943,280,709",$0.571387,"45,404,028,640 XRP *","$12,894,607,835",0.10%,-2.65%,7.39%,
4,Tether,USDT,"$20,124,832,494",$1.00,"20,110,339,262 USDT *","$61,704,683,318",0.00%,0.09%,-0.02%,
5,Litecoin,LTC,"$7,075,055,534",$107.00,"66,120,198 LTC","$8,623,855,838",0.59%,-0.74%,41.90%,
6,Bitcoin Cash,BCH,"$5,853,961,570",$314.71,"18,600,863 BCH","$3,514,893,224",-0.14%,0.35%,17.64%,
7,Chainlink,LINK,"$5,424,479,475",$13.65,"397,509,556 LINK *","$1,220,295,253",-0.26%,0.46%,11.92%,
8,Cardano,ADA,"$5,175,250,170",$0.166340,"31,112,484,646 ADA","$867,986,255",0.11%,0.44%,13.50%,
9,Polkadot,DOT,"$4,831,410,423",$5.42,"891,666,343 DOT *","$513,759,154",-0.29%,2.05%,13.28%,
10,Binance Coin,BNB,"$4,652,669,110",$32.22,"144,406,561 BNB *","$405,206,396",-0.20%,6.04%,15.29%,
11,Stellar,XLM,"$3,973,036,641",$0.181940,"21,837,110,830 XLM *","$566,138,043",-0.45%,-1.07%,12.98%,
12,USD Coin,USDC,"$3,332,282,110",$1.00,"3,332,272,237 USDC *","$755,130,898",0.01%,0.01%,0.00%,
13,Bitcoin SV,BSV,"$3,301,549,508",$177.49,"18,601,445 BSV","$498,444,738",0.12%,-1.51%,7.13%,
14,EOS,EOS,"$2,883,174,666",$3.07,"938,730,954 EOS *","$1,994,428,288",-0.02%,0.56%,11.11%,
15,Monero,XMR,"$2,783,283,103",$156.46,"17,789,618 XMR","$1,450,996,605",-0.15%,-0.61%,5.69%,
16,NEM,XEM,"$2,757,845,127",$0.306427,"8,999,999,999 XEM *","$267,023,554",-0.22%,12.45%,30.04%,
17,Wrapped Bitcoin,WBTC,"$2,645,234,290","$22,860.71","115,711 WBTC *","$224,004,450",-0.40%,-0.05%,24.60%,
18,TRON,TRX,"$2,235,072,339",$0.031190,"71,659,657,369 TRX *","$719,187,417",0.02%,1.30%,9.23%,
19,Tezos,XTZ,"$1,755,324,373",$2.33,"753,907,502 XTZ *","$147,813,264",0.18%,1.02%,8.53%,
20,Crypto.com Coin,CRO,"$1,459,606,766",$0.065624,"22,242,009,131 CRO *","$47,487,514",-0.78%,-1.66%,11.17%,
21,UNUS SED LEO,LEO,"$1,358,583,149",$1.36,"999,498,893 LEO *","$8,536,227",-0.02%,0.20%,-0.33%,
22,Filecoin,FIL,"$1,273,914,170",$28.57,"44,584,205 FIL","$194,378,465",-0.59%,-0.62%,-5.37%,
23,Neo,NEO,"$1,274,221,781",$18.06,"70,538,831 NEO *","$446,637,784",0.08%,1.68%,9.52%,
24,Dai,DAI,"$1,131,021,390",$1.00,"1,129,164,763 DAI *","$153,285,882",-0.04%,0.00%,-0.23%,
25,Cosmos,ATOM,"$1,124,737,638",$5.42,"207,465,996 ATOM *","$212,829,177",0.55%,1.42%,12.04%,
26,VeChain,VET,"$1,120,665,155",$0.017424,"64,315,576,989 VET *","$131,930,202",0.74%,1.33%,8.65%,
27,Aave,AAVE,"$1,089,412,035",$90.83,"11,993,361 AAVE *","$290,349,991",0.73%,8.54%,14.96%,
28,Uniswap,UNI,"$1,055,563,479",$4.11,"256,903,325 UNI *","$812,408,141",0.68%,12.52%,30.72%,
29,Dash,DASH,"$1,047,997,327",$106.15,"9,873,155 DASH","$732,113,990",-0.38%,-3.62%,9.96%,
30,Revain,REV,"$968,177,280",$0.011666,"82,989,550,407 REV *","$6,994,255",0.03%,0.09%,0.05%,
31,THETA,THETA,"$917,523,465",$0.917523,"1,000,000,000 THETA *","$56,290,211",0.12%,13.08%,29.52%,
32,IOTA,MIOTA,"$916,521,284",$0.329740,"2,779,530,283 MIOTA *","$18,548,605",-0.18%,1.40%,12.72%,
33,yearn.finance,YFI,"$834,804,425","$27,856.50","29,968 YFI *","$384,994,804",1.00%,4.20%,10.99%,
34,Waves,WAVES,"$813,936,736",$7.84,"103,833,946 WAVES *","$90,515,806",-0.71%,-3.01%,-9.23%,
35,Huobi Token,HT,"$802,026,847",$4.04,"198,497,676 HT *","$61,717,858",-0.47%,-0.35%,1.65%,
36,Zcash,ZEC,"$798,472,121",$74.48,"10,720,619 ZEC","$427,730,302",0.19%,-1.00%,12.75%,
37,Binance USD,BUSD,"$798,512,159",$1.00,"798,272,677 BUSD *","$872,726,053",0.01%,0.03%,0.04%,
38,Ethereum Classic,ETC,"$750,670,353",$6.45,"116,313,299 ETC","$702,381,991",0.10%,-0.10%,7.85%,
39,Compound,COMP,"$699,473,680",$159.49,"4,385,749 COMP *","$223,298,890",0.26%,1.77%,5.63%,
40,Synthetix,SNX,"$698,044,045",$6.32,"110,519,345 SNX *","$168,793,601",0.86%,11.86%,40.70%,
41,Celsius,CEL,"$676,444,751",$2.83,"238,863,520 CEL *","$6,457,741",-0.76%,2.33%,25.73%,
42,Maker,MKR,"$575,035,453",$575.95,"998,404 MKR *","$44,316,395",0.45%,6.55%,9.89%,
43,Zilliqa,ZIL,"$524,185,977",$0.048683,"10,767,241,814 ZIL","$172,114,985",4.06%,18.95%,51.90%,
44,Dogecoin,DOGE,"$501,026,697",$0.003927,"127,581,817,778 DOGE","$101,575,402",0.70%,4.14%,23.60%,
45,Kusama,KSM,"$494,278,766",$58.36,"8,470,098 KSM *","$56,098,914",0.46%,3.79%,22.14%,
46,SushiSwap,SUSHI,"$482,314,553",$2.83,"170,540,897 SUSHI *","$190,688,695",-0.10%,5.86%,36.98%,
47,UMA,UMA,"$471,249,509",$8.49,"55,506,671 UMA *","$14,671,644",0.12%,2.18%,18.66%,
