iter	RMSE
0	0.9257147826
1	0.867804497
2	0.8165693698
3	0.7719245444
4	0.7348884053
5	0.702272034
6	0.673700647
7	0.6498513146
8	0.6293170481
9	0.6109633644
10	0.5949945052
11	0.5822829421
12	0.5716508312
13	0.562260366
14	0.553422988
15	0.5462425242
16	0.5399475635
17	0.5345199234
18	0.5294003621
19	0.5250044727
20	0.5215382135
21	0.5185319599
22	0.5150305375
23	0.5122371576
24	0.5100963718
25	0.5085120041
26	0.5063677639
27	0.5043871102
28	0.5025280505
29	0.5010850254
30	0.4996936405
31	0.4981306583
32	0.4966736409
33	0.4952185419
34	0.4943600228
35	0.4933810637
36	0.4920369865
37	0.4911404592
38	0.4902478397
39	0.4893289448
40	0.4884425154
41	0.487785779
42	0.485743705
43	0.4842865431
44	0.4827651896
45	0.481934677
46	0.4813174541
47	0.4799184969
48	0.479236447
49	0.4786283647
50	0.4774496547
51	0.4767987725
52	0.4761079376
53	0.4756195582
54	0.4752395522
55	0.4744602492
56	0.4739820608
57	0.4731406467
58	0.4723010722
59	0.4714863154
60	0.4704581788
61	0.4694906872
62	0.4687659636
63	0.4682153623
64	0.4674853997
65	0.4671128424
66	0.4668731788
67	0.4661648709
68	0.465176226
69	0.464741095
70	0.4643081693
71	0.4638116497
72	0.4632757136
73	0.4630766319
74	0.4626717191
75	0.4619475533
76	0.4615731888
77	0.4611474033
78	0.4603937753
79	0.4596790578
80	0.4592531662
81	0.4588260079
82	0.458201764
83	0.4577188684
84	0.4567645322
85	0.4564309409
86	0.4561743603
87	0.4555581565
88	0.4546259854
89	0.4538229863
90	0.4527906569
91	0.4520383497
92	0.4512620288
93	0.4509306169
94	0.4502878048
95	0.4500500982
96	0.4495615159
97	0.4488856999
98	0.4487313718
99	0.4483837104
100	0.4480031547
101	0.4477289051
102	0.4469309138
103	0.4456272681
104	0.4449654653
105	0.444627212
106	0.4439368408
107	0.4432862803
108	0.4429525431
109	0.4426682706
110	0.441536483
111	0.4405529616
112	0.4402120764
113	0.439709136
114	0.4395052476
115	0.4388086338
116	0.4384814686
117	0.4381012157
118	0.4378290339
119	0.437222863
120	0.4364292969
121	0.4362485371
122	0.4358639998
123	0.4355278555
124	0.4352688206
125	0.4347749746
126	0.4344527723
127	0.4337474808
128	0.4331526839
129	0.4323563762
130	0.4317426697
131	0.4315974559
132	0.431109911
133	0.4306660528
134	0.4302585903
135	0.4299092883
136	0.4296043047
137	0.4289319366
138	0.4286391004
139	0.4284683166
140	0.4278612102
141	0.4275754465
142	0.4271542976
143	0.4268555181
144	0.42655506
145	0.4263237709
146	0.4254104742
147	0.4248474247
148	0.4238023627
149	0.4229430439
150	0.422696676
151	0.4222087946
152	0.4217344812
153	0.4214367992
154	0.4207607
155	0.4203201955
156	0.4196281867
157	0.4193837571
158	0.4191071314
159	0.4187222835
160	0.4184152086
161	0.4181577286
162	0.4175345634
163	0.4171037085
164	0.4167515831
165	0.4165696152
166	0.416451997
167	0.4162208267
168	0.4159664379
169	0.4156624314
170	0.4152820155
171	0.415014381
172	0.4146339147
173	0.4144385434
174	0.4139269145
175	0.413288327
176	0.4129100536
177	0.412580939
178	0.4125601383
179	0.4122225284
180	0.4117495686
181	0.4110632005
182	0.4108056136
183	0.4105521307
184	0.4103447501
185	0.4099933171
186	0.4097345737
187	0.4092602389
188	0.4092301596
189	0.4088854097
190	0.4082480009
191	0.4078805554
192	0.4075172791
193	0.4071515732
194	0.4066715913
195	0.4064513413
196	0.4062996884
197	0.4061579251
198	0.4059841468
199	0.4055280797
200	0.4052453498
201	0.4049958317
202	0.4047250682
203	0.40452805
204	0.4042347591
205	0.4040305925
206	0.4038979784
207	0.4038582155
208	0.4035505808
209	0.4031643661
210	0.4029239159
211	0.4026145447
212	0.4025375925
213	0.4021068661
214	0.4017937201
215	0.4014669887
216	0.4012153737
217	0.4011190644
218	0.4009027771
219	0.4008114222
220	0.4004172873
221	0.4000879435
222	0.3999156969
223	0.3997687617
224	0.3996077334
225	0.3994457054
226	0.3991089061
227	0.3990661686
228	0.3990163664
229	0.3983803996
230	0.398157557
231	0.3977044898
232	0.3975080315
233	0.3973766251
