iter	Passed	Remaining
0	126	378969
1	231	347050
2	369	368956
3	522	391534
4	617	369822
5	745	371984
6	943	403385
7	1058	395727
8	1165	387312
9	1269	379451
10	1469	399247
11	1569	390929
12	1771	407041
13	1882	401519
14	1999	397838
15	2109	393496
16	2251	395116
17	2375	393466
18	2568	402954
19	2792	416085
20	2965	420612
21	3071	415740
22	3184	412128
23	3312	410811
24	3421	407109
25	3560	407263
26	3677	404978
27	3783	401568
28	3962	405982
29	4080	403990
30	4292	411071
31	4398	407969
32	4574	411264
33	4723	412017
34	4860	411782
35	4994	411192
36	5117	409787
37	5237	408266
38	5358	406828
39	5463	404309
40	5574	402347
41	5692	400907
42	5808	399454
43	5924	397991
44	6034	396246
45	6265	402370
46	6360	399639
47	6461	397401
48	6565	395409
49	6844	403800
50	7800	451081
51	8798	498804
52	9670	537704
53	10569	576611
54	11391	609963
55	11776	619101
56	11883	613580
57	12044	610941
58	12242	610232
59	12376	606434
60	12485	601578
61	12607	597409
62	12744	594155
63	12872	590534
64	13009	587451
65	13124	583447
66	13264	580683
67	13485	581475
68	13648	579750
69	13777	576674
70	13896	573283
71	14092	573112
72	14303	573515
73	14423	570294
74	14617	570075
75	14774	568432
76	14899	565582
77	15102	565747
78	15255	564084
79	15383	561505
80	15576	561322
81	15693	558470
82	15934	560019
83	16107	559148
84	16225	556426
85	16413	556153
86	16531	553508
87	16650	550975
88	16785	549012
89	16909	546742
90	17030	544416
91	17239	544930
92	17524	547775
93	17732	548187
94	17857	546054
95	17981	543944
96	18083	541197
97	18210	539240
98	18306	536436
99	18431	534515
100	18566	532921
101	18702	531374
102	18844	530033
103	18959	527944
104	19082	526132
105	19237	525232
106	19353	523267
107	19466	521271
108	19582	519391
109	19773	519513
110	19915	518352
111	20041	516772
112	20171	515343
113	20387	516120
114	20530	515042
115	20653	513484
116	20786	512211
117	21001	512939
118	21214	513593
119	21370	512887
120	21491	511367
121	21607	509714
122	21796	509820
123	21980	509795
124	22118	508720
125	22294	508516
126	22409	506939
127	22528	505479
128	22681	504799
129	22897	505506
130	23107	506080
131	23244	505043
132	23449	505489
133	23576	504265
134	23793	504947
135	23924	503811
136	24066	502940
137	24206	502030
138	24349	501177
139	24484	500187
140	24604	498893
141	24771	498577
142	24913	497755
143	25099	497798
144	25235	496881
145	25371	495952
146	25491	494752
147	25618	493670
148	25734	492412
149	25920	492490
150	26044	491401
151	26161	490185
152	26306	489504
153	26440	488640
154	26574	487765
155	26746	487615
156	26945	487930
157	27140	488193
158	27298	487773
159	27490	487959
160	27607	486824
161	27738	485942
162	27873	485129
163	27996	484129
164	28120	483153
165	28266	482565
166	28394	481682
167	28494	480328
168	28598	479062
169	28721	478127
170	28821	476814
171	28925	475586
172	29027	474334
173	29145	473358
174	29248	472147
175	29361	471119
176	29459	469853
177	29570	468807
178	29903	471269
179	31082	486955
180	31976	498023
181	32923	509776
182	33851	521095
183	34633	530045
184	34795	529457
185	34927	528424
186	35074	527616
187	35204	526570
188	35329	525450
189	35485	524818
190	35729	525465
191	35953	525822
192	36076	524698
193	36205	523677
194	36325	522521
195	36442	521348
196	36558	520173
197	37193	526340
198	37971	534458
199	38751	542516
200	39589	551303
201	40407	559707
202	41260	568494
203	41701	571551
204	41849	570586
205	41983	569424
206	42178	569101
207	42255	567202
208	42383	565990
209	42519	564899
210	42750	565075
211	42947	564806
212	43063	563464
213	43209	562533
214	43424	562493
215	43549	561303
216	43697	560410
217	43901	560250
218	44012	558895
219	44151	557911
220	44347	557660
221	44474	556535
222	44576	555103
223	44720	554220
224	44853	553195
225	44978	552076
226	45097	550901
227	45209	549656
228	45326	548471
229	45499	547970
230	45660	547331
231	45784	546261
232	45917	545299
233	46036	544175
