N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"73,800",0,0.00%,100,"4,405,700","5,969,783",56.09,"17,365,840",20.15,8.69,
2,SK하이닉스,"117,500",0,0.00%,"5,000","855,403","728,002",49.79,"2,179,178",29.81,4.25,
3,LG화학,"819,000","18,000",+2.25%,"5,000","578,151","70,592",42.46,"306,182",76.52,1.84,
4,삼성전자우,"69,500",0,0.00%,100,"571,906","822,887",82.94,"2,467,274",18.98,N/A,
5,삼성바이오로직스,"807,000","7,000",+0.88%,"2,500","533,952","66,165",10.20,"107,337",150.25,4.77,
6,셀트리온,"353,500","6,500",-1.81%,"1,000","477,217","134,998",20.75,"1,224,030",93.69,11.19,
7,NAVER,"285,500","2,500",+0.88%,100,"468,972","164,263",55.79,"380,678",56.84,10.56,
8,현대차,"190,000","1,500",+0.80%,"5,000","405,970","213,668",30.65,"1,260,852",45.40,4.32,
9,삼성SDI,"564,000","12,000",+2.17%,"5,000","387,832","68,765",43.71,"363,061",192.43,2.94,
10,카카오,"372,000","1,000",+0.27%,500,"328,514","88,310",31.72,"266,350",-412.87,-5.81,
11,LG생활건강,"1,649,000","56,000",+3.52%,"5,000","257,544","15,618",45.67,"42,740",36.95,20.32,
12,기아차,"62,500",500,+0.81%,"5,000","253,352","405,363",37.59,"1,353,963",29.04,6.50,
13,현대모비스,"255,000","4,000",-1.54%,"5,000","242,389","95,055",43.49,"425,890",15.55,7.28,
14,삼성물산,"128,500",0,0.00%,100,"240,150","186,887",14.06,"439,466",21.53,4.77,
15,POSCO,"271,500","2,500",+0.93%,"5,000","236,712","87,187",50.96,"280,843",24.87,4.18,
16,SK텔레콤,"247,000","1,000",+0.41%,500,"199,442","80,746",34.02,"201,443",18.19,3.92,
17,KB금융,"46,050",250,-0.54%,"5,000","191,480","415,808",65.81,"1,438,915",5.62,8.92,
18,엔씨소프트,"868,000","7,000",-0.80%,500,"190,561","21,954",48.30,"72,576",33.96,14.72,
19,SK이노베이션,"189,000","4,500",+2.44%,"5,000","174,760","92,466",24.02,"716,977",-7.19,-0.20,
20,신한지주,"33,700",150,+0.45%,"5,000","174,070","516,527",57.58,"1,930,471",4.83,9.09,
21,SK,"241,000","3,500",-1.43%,200,"169,568","70,360",21.50,"209,211","1,016.88",4.31,
22,LG전자,"97,300","3,900",+4.18%,"5,000","159,229","163,648",36.12,"1,778,205",21.13,0.22,
23,삼성생명,"76,100","1,900",+2.56%,500,"152,200","200,000",12.11,"466,280",15.28,3.26,
24,한국전력,"23,600",400,-1.67%,"5,000","151,504","641,964",16.97,"4,414,795",163.89,-3.42,
25,삼성에스디에스,"178,500","1,000",-0.56%,500,"138,119","77,378",11.91,"185,648",26.35,11.76,
